"";"RSAL";"RGALLER";"REARING_NUMBER";"LEG";"N_GALLS";"N_CLEAN GALLS";"N_REAL GALLS";"PARASITISED_GALLS";"UNPARASITISED_GALLS";"TOTAL_PARASITISM RATE"
"1048";"Sal11";"Hoblit";"1999SZ50Hoblit";"06.07.99";29;10;19;0;19;0
"1049";"Sal11";"Hoblit";"1999SZ51Hoblit";"06.07.99";14;5;9;0;9;0
"1050";"Sal9";"Hpruss";"1999SZ52Hpruss";"06.07.99";58;28;30;1;29;0,033333333
"1051";"Sal9";"Hpruss";"1999SZ53Hpruss";"06.07.99";48;24;24;2;22;0,083333333
"1052";"Sal11";"Hoblit";"1999SZ54Hoblit";"06.07.99";5;2;3;0;3;0
"1053";"Sal3";"Hischn";"1999SZ55Hischn";"14.07.99";27;15;12;1;11;0,083333333
"1054";"Sal3";"Hischn";"1999SZ56Hischn";"20.07.99";18;2;16;0;16;0
"1055";"Sal3";"Hischn";"1999SZ97Hischn";"01.09.99";55;1;54;0;54;0
"1056";"Sal1";"Eelaea";"1999T1Eelaea";"02.06.99";3;0;3;1;2;0,333333333
"1057";"Sal1";"Eelaea";"1999U1Eelaea";"02.06.99";1;0;1;0;1;0
"1058";"Sal1";"Eelaea";"1999W1Eelaea";"02.06.99";3;0;3;0;3;0
"1059";"Sal1";"Eelaea";"1999V2Eelaea";"02.06.99";2;0;2;0;2;0
"1060";"Sal1";"Eelaea";"1999X1Eelaea";"02.06.99";1;0;1;0;1;0
"1061";"Sal1";"Eelaea";"1999Y1Eelaea";"02.06.99";5;0;5;0;5;0
"1062";"Sal1";"Eelaea";"1999Z1Eelaea";"27.05.99";2;0;2;0;2;0
"1063";"Sal18";"Enigri";"200014A-NEnigri";"14.08.00";56;0;56;32;24;0,571428571
"1064";"Sal18";"Enigri";"200014P-V1Enigri";"14.08.00";116;0;116;58;58;0,5
"1065";"Sal11";"Oproxi";"200023A-OOproxi";"17.07.00";92;0;92;52;40;0,565217391
"1066";"Sal11";"Oproxi";"200023D1-O1Oproxi";"17.07.00";76;0;76;14;62;0,184210526
"1067";"Sal11";"Oproxi";"200023Q1-24LOproxi";"17.07.00";107;0;107;29;78;0,271028037
"1068";"Sal11";"Oproxi";"200023Q-B1Oproxi";"17.07.00";74;0;74;33;41;0,445945946
"1069";"Sal10";"Ovimin";"200024A1-V1Ovimin";"17.07.00";99;1;98;38;60;0,387755102
"1070";"Sal10";"Ovimin";"200024N-OOvimin";"17.07.00";8;0;8;1;7;0,125
"1071";"Sal10";"Ovesic";"200024QOvesic";"17.07.00";4;0;4;0;4;0
"1072";"Sal10";"Ovimin";"200024S-TOvimin";"17.07.00";7;0;7;2;5;0,285714286
"1073";"Sal10";"Ovesic";"200024V-WOvesic";"17.07.00";7;0;7;0;7;0
"1074";"Sal10";"Ovimin";"200025A1-C1Ovimin";"20.07.00";13;0;13;4;9;0,307692308
"1075";"Sal10";"Ovimin";"200025A-DOvimin";"19.07.00";16;0;16;6;10;0,375
"1076";"Sal10";"Ovimin";"200025E1-F1Ovimin";"20.07.00";9;0;9;8;1;0,888888889
"1077";"Sal11";"Oproxi";"200025F-JOproxi";"19.07.00";32;0;32;8;24;0,25
"1078";"Sal3";"Ovaria";"200025L-UOvaria";"19.07.00";42;0;42;11;31;0,261904762
"1079";"Sal11";"Etesta";"200025M1-V1Etesta";"12.07.00";55;3;52;29;23;0,557692308
"1080";"Sal1";"Okriec";"200026A1-F1Okriec";"24.07.00";29;0;29;22;7;0,75862069
"1081";"Sal10";"Ovimin";"200026A-MOvimin";"24.07.00";51;0;51;35;16;0,68627451
"1082";"Sal1";"Okriec";"200026H1-27GOkriec";"24.07.00";94;6;88;59;29;0,670454545
"1083";"Sal10";"Ovimin";"200026O-ZOvimin";"24.07.00";49;3;46;34;12;0,739130435
"1084";"Sal1";"Okriec";"200027A1-O1Okriec";"24.07.00";72;7;65;52;13;0,8
"1085";"Sal1";"Okriec";"200027J-XOkriec";"24.07.00";67;4;63;44;19;0,698412698
"1086";"Sal4";"Oobscu";"200027Q1-S1Oobscu";"25.07.00";21;0;21;8;13;0,380952381
"1087";"Sal4";"Oobscu";"200027U1-V1Oobscu";"25.07.00";8;0;8;1;7;0,125
"1088";"Sal10";"Ovimin";"200028A1-P1Ovimin";"26.07.00";67;0;67;38;29;0,567164179
"1089";"Sal4";"Oobscu";"200028A-DOobscu";"25.07.00";23;0;23;11;12;0,47826087
"1090";"Sal4";"Oobscu";"200028F-OOobscu";"25.07.00";60;0;60;16;44;0,266666667
"1091";"Sal4";"Oobscu";"200028Q-VOobscu";"25.07.00";38;0;38;9;29;0,236842105
"1092";"Sal10";"Ovimin";"200028R1-29EOvimin";"26.07.00";39;0;39;27;12;0,692307692
"1093";"Sal4";"Oobscu";"200028XOobscu";"25.07.00";10;6;4;3;1;0,75
"1094";"Sal1";"Okriec";"200029A1-P1Okriec";"26.07.00";65;3;62;37;25;0,596774194
"1095";"Sal1";"Okriec";"200029G-VOkriec";"26.07.00";67;1;66;39;27;0,590909091
"1096";"Sal1";"Okriec";"200029R1-30LOkriec";"26.07.00";73;4;69;45;24;0,652173913
"1097";"Sal2";"Obridg";"200030A1-T1Obridg";"26.07.00";123;8;115;37;78;0,32173913
"1098";"Sal2";"Obridg";"200030N-YObridg";"26.07.00";72;4;68;9;59;0,132352941
"1099";"Sal4";"Oobscu";"200031A-COobscu";"25.07.00";16;1;15;3;12;0,2
"1100";"Sal4";"Oobscu";"200031E-GOobscu";"25.07.00";17;1;16;5;11;0,3125
"1101";"Sal4";"Oobscu";"200031F1-G1Oobscu";"25.07.00";12;0;12;7;5;0,583333333
"1102";"Sal4";"Ofoeti";"200031I1-P1Ofoeti";"25.07.00";48;0;48;3;45;0,0625
"1103";"Sal4";"Ofoeti";"200031I-POfoeti";"25.07.00";48;0;48;16;32;0,333333333
"1104";"Sal4";"Ofoeti";"200031R1-U1Ofoeti";"25.07.00";24;1;23;3;20;0,130434783
"1105";"Sal4";"Ofoeti";"200031R-D1Ofoeti";"25.07.00";77;0;77;13;64;0,168831169
"1106";"Sal4";"Oobscu";"200032A-EOobscu";"25.07.00";31;0;31;6;25;0,193548387
"1107";"Sal4";"Oobscu";"200032G-LOobscu";"25.07.00";37;2;35;6;29;0,171428571
"1108";"Sal4";"Oobscu";"200032NOobscu";"25.07.00";6;0;6;3;3;0,5
"1109";"Sal4";"Oobscu";"200032P-TOobscu";"25.07.00";28;0;28;5;23;0,178571429
"1110";"Sal4";"Oobscu";"200032V-R1Oobscu";"25.07.00";136;4;132;22;110;0,166666667
"1111";"Sal4";"Oobscu";"200033A-UOobscu";"27.07.00";126;2;124;6;118;0,048387097
"1112";"Sal4";"Ofoeti";"200033E1-M1Ofoeti";"27.07.00";36;0;36;6;30;0,166666667
"1113";"Sal4";"Oobscu";"200033O1-U1Oobscu";"27.07.00";39;0;39;3;36;0,076923077
"1114";"Sal4";"Oobscu";"200033W-C1Oobscu";"27.07.00";40;0;40;8;32;0,2
"1115";"Sal4";"Oobscu";"200034A1-L1Oobscu";"27.07.00";70;1;69;10;59;0,144927536
"1116";"Sal4";"Oobscu";"200034A-GOobscu";"27.07.00";41;2;39;2;37;0,051282051
"1117";"Sal4";"Oobscu";"200034I-VOobscu";"27.07.00";84;9;75;17;58;0,226666667
"1118";"Sal4";"Oobscu";"200034N1-U1Oobscu";"27.07.00";48;1;47;4;43;0,085106383
"1119";"Sal4";"Oobscu";"200035A-JOobscu";"27.07.00";63;0;63;18;45;0,285714286
"1120";"Sal40";"Oobscu";"200035L-UOobscu";"27.07.00";61;1;60;4;56;0,066666667
"1121";"Sal22";"Obrevi";"200039A1-F1Obrevi";"16.08.00";22;0;22;3;19;0,136363636
"1122";"Sal24";"Oretus";"200039A-QOretus";"26.08.00";67;0;67;27;40;0,402985075
"1123";"Sal22";"Obrevi";"200039H1-R1Obrevi";"16.08.00";44;1;43;2;41;0,046511628
"1124";"Sal22";"Obrevi";"200039S-XObrevi";"16.08.00";22;0;22;10;12;0,454545455
"1125";"Sal22";"Obrevi";"200039T1-U1Obrevi";"16.08.00";10;0;10;0;10;0
"1126";"Sal4";"Ofoeti";"200040A-OOfoeti";"16.08.00";61;0;61;7;54;0,114754098
"1127";"Sal4";"Ofoeti";"200040M1-41OOfoeti";"16.08.00";100;0;100;13;87;0,13
"1128";"Sal4";"Ofoeti";"200040Q-K1Ofoeti";"16.08.00";84;0;84;4;80;0,047619048
"1129";"Sal4";"Ofoeti";"200041Q-Q1Ofoeti";"16.08.00";109;0;109;12;97;0,110091743
"1130";"Sal22";"Obrevi";"200041S1-V1Obrevi";"15.08.00";22;0;22;13;9;0,590909091
"1131";"Sal22";"Obrevi";"200042A-J1Obrevi";"15.08.00";145;0;145;22;123;0,151724138
"1132";"Sal22";"Obrevi";"200042L1-V1Obrevi";"15.08.00";62;0;62;9;53;0,14516129
"1133";"Sal22";"Obrevi";"200043A-GObrevi";"15.08.00";26;0;26;6;20;0,230769231
"1134";"Sal22";"Obrevi";"200043I-QObrevi";"15.08.00";36;1;35;7;28;0,2
"1135";"Sal3";"Ovaria";"200043K1-N1Ovaria";"15.08.00";21;0;21;4;17;0,19047619
"1136";"Sal3";"Ovaria";"200043P1-44IOvaria";"17.08.00";83;11;72;13;59;0,180555556
"1137";"Sal4";"Ofoeti";"200043S-I1Ofoeti";"16.08.00";69;0;69;14;55;0,202898551
"1138";"Sal3";"Ovaria";"200044E1-O1Ovaria";"15.08.00";57;0;57;20;37;0,350877193
"1139";"Sal3";"Ovaria";"200044L-SOvaria";"15.08.00";39;2;37;4;33;0,108108108
"1140";"Sal3";"Ovaria";"200044Q1-T1Ovaria";"15.08.00";19;0;19;2;17;0,105263158
"1141";"Sal3";"Ovaria";"200044U-C1Ovaria";"15.08.00";48;0;48;16;32;0,333333333
"1142";"Sal3";"Ovaria";"200045A1-G1Ovaria";"15.08.00";35;1;34;7;27;0,205882353
"1143";"Sal3";"Ovaria";"200045A-EOvaria";"15.08.00";26;0;26;10;16;0,384615385
"1144";"Sal3";"Ovaria";"200045G-VOvaria";"15.08.00";81;1;80;35;45;0,4375
"1145";"Sal23";"Oretic";"200045J1-46I1Oretic";"15.08.00";144;0;144;27;117;0,1875
"1146";"Sal23";"Oretic";"200046K1-47WOretic";"15.08.00";107;1;106;33;73;0,311320755
"1147";"Sal4";"Egemmf";"200047G1-N1Egemmf";"16.08.00";52;2;50;22;28;0,44
"1148";"Sal4";"Egemmf";"200047P1-Q1Egemmf";"15.08.00";11;0;11;8;3;0,727272727
"1149";"Sal4";"Egemmf";"200047S1-T1Egemmf";"16.08.00";14;0;14;4;10;0,285714286
"1150";"Sal4";"Egemmf";"200047V1Egemmf";"15.08.00";5;0;5;1;4;0,2
"1151";"Sal4";"Egemmf";"200047Y-E1Egemmf";"16.08.00";39;5;34;16;18;0,470588235
"1152";"Sal4";"Egemmf";"200048A-DEgemmf";"16.08.00";20;5;15;4;11;0,266666667
"1153";"Sal4";"Egemmf";"200048E-FEgemmf";"15.08.00";10;0;10;8;2;0,8
"1154";"Sal4";"Egemmf";"200048H1-J1Egemmf";"16.08.00";14;0;14;9;5;0,642857143
"1155";"Sal4";"Egemmf";"200048J-QEgemmf";"16.08.00";47;3;44;22;22;0,5
"1156";"Sal4";"Egemmf";"200048L1-P1Egemmf";"15.08.00";25;1;24;6;18;0,25
"1157";"Sal4";"Egemmf";"200048R1-49CEgemmf";"15.08.00";40;3;37;19;18;0,513513514
"1158";"Sal4";"Egemmf";"200048S-TEgemmf";"16.08.00";9;0;9;2;7;0,222222222
"1159";"Sal4";"Egemmf";"200048V-F1Egemmf";"16.08.00";71;1;70;15;55;0,214285714
"1160";"Sal4";"Egemmf";"200049A1-E1Egemmf";"15.08.00";30;2;28;19;9;0,678571429
"1161";"Sal4";"Egemmf";"200049E-FEgemmf";"16.08.00";11;0;11;2;9;0,181818182
"1162";"Sal4";"Egemmf";"200049G1Egemmf";"15.08.00";5;1;4;1;3;0,25
"1163";"Sal4";"Egemmf";"200049H-JEgemmf";"15.08.00";14;2;12;6;6;0,5
"1164";"Sal4";"Egemmf";"200049LEgemmf";"15.08.00";6;0;6;3;3;0,5
"1165";"Sal4";"Egemmf";"200049N-OEgemmf";"16.08.00";7;0;7;4;3;0,571428571
"1166";"Sal4";"Egemmf";"200049R-SEgemmf";"15.08.00";13;0;13;10;3;0,769230769
"1167";"Sal4";"Egemmf";"200049U-VEgemmf";"15.08.00";9;0;9;3;6;0,333333333
"1168";"Sal4";"Egemmf";"200049XEgemmf";"16.08.00";5;0;5;3;2;0,6
"1169";"Sal11";"Oproxi";"200061A-MOproxi";"04.09.00";67;2;65;43;22;0,661538462
"1170";"Sal11";"Oproxi";"200061L1-P1Oproxi";"04.09.00";25;0;25;18;7;0,72
"1171";"Sal11";"Oproxi";"200061O-J1Oproxi";"04.09.00";110;0;110;44;66;0,4
"1172";"Sal11";"Oproxi";"200062A-GOproxi";"04.09.00";33;0;33;21;12;0,636363636
"1173";"Sal10";"Ovesic";"200062M-QOvesic";"04.09.00";16;0;16;6;10;0,375
"1174";"Sal31";"Hangli";"2000SZ10Hangli";"17.07.00";37;0;37;0;37;0
"1175";"Sal31";"Hangli";"2000SZ11Hangli";"17.07.00";51;21;30;12;18;0,4
"1176";"Sal31";"Hangli";"2000SZ12Hangli";"17.07.00";36;0;36;1;35;0,027777778
"1177";"Sal11";"Hoblit";"2000SZ13Hoblit";"17.07.00";37;4;33;0;33;0
"1178";"Sal31";"Hangli";"2000SZ14Hangli";"17.07.00";117;3;114;5;109;0,043859649
"1179";"Sal31";"Hangli";"2000SZ15Hangli";"17.07.00";30;0;30;11;19;0,366666667
"1180";"Sal11";"Hoblit";"2000SZ16Hoblit";"20.07.00";11;0;11;0;11;0
"1181";"Sal31";"Hangli";"2000SZ17Hangli";"17.07.00";24;0;24;0;24;0
"1182";"Sal2";"Hpscho";"2000SZ18Hpscho";"14.08.00";12;0;12;0;12;0
"1183";"Sal18";"Hleuco";"2000SZ19Hleuco";"14.08.00";8;0;8;0;8;0
"1184";"Sal10";"Hpolit";"2000SZ1Hpolit";"19.07.00";25;0;25;0;25;0
"1185";"Sal18";"Hleuco";"2000SZ20Hleuco";"14.08.00";20;0;20;2;18;0,1
"1186";"Sal31";"Hangli";"2000SZ21Hangli";"04.09.00";91;6;85;0;85;0
"1187";"Sal31";"Hangli";"2000SZ22Hangli";"05.09.00";94;41;53;0;53;0
"1188";"Sal31";"Hangli";"2000SZ23Hangli";"07.09.00";93;1;92;0;92;0
"1189";"Sal12";"Hoblit";"2000SZ2424Hoblit";"05.09.00";93;1;92;1;91;0,010869565
"1190";"Sal11";"Hoblit";"2000SZ2Hoblit";"19.07.00";55;10;45;0;45;0
"1191";"Sal10";"Hpolit";"2000SZ3Hpolit";"19.07.00";45;2;43;2;41;0,046511628
"1192";"Sal31";"Hangli";"2000SZ4Hangli";"19.07.00";233;7;226;2;224;0,008849558
"1193";"Sal11";"Hoblit";"2000SZ5Hoblit";"19.07.00";35;1;34;0;34;0
"1194";"Sal11";"Hoblit";"2000SZ6Hoblit";"20.07.00";28;4;24;0;24;0
"1195";"Sal31";"Hangli";"2000SZ7Hangli";"17.07.00";99;26;73;4;69;0,054794521
"1196";"Sal31";"Hangli";"2000SZ8Hangli";"17.07.00";33;1;32;2;30;0,0625
"1197";"Sal31";"Hangli";"2000SZ9Hangli";"17.07.00";39;1;38;1;37;0,026315789
"1198";"Sal28";"Oherba";"200101A-Q1Oherba";"04.08.01";255;1;254;55;199;0,216535433
"1199";"Sal18";"Ospset";"200102A1-T1Ospset";"06.08.01";79;0;79;67;12;0,848101266
"1200";"Sal15";"Omyrsi";"200102A-YOmyrsi";"04.08.01";152;0;152;95;57;0,625
"1201";"Sal30";"Omyrti";"200103A-LOmyrti";"06.08.01";74;0;74;17;57;0,22972973
"1202";"Sal18";"Obridg";"200103G1-4DObridg";"12.08.01";121;3;118;65;53;0,550847458
"1203";"Sal18";"Ogalla";"200103N-QOgalla";"06.08.01";22;0;22;3;19;0,136363636
"1204";"Sal18";"Ospset";"200103S-E1Ospset";"07.08.01";53;0;53;43;10;0,811320755
"1205";"Sal41";"Oarcti";"200104F-NOarcti";"21.03.01";18;0;18;4;14;0,222222222
"1206";"Sal27";"Elanat";"200105A1-V1Elanat";"08.08.01";108;0;108;27;81;0,25
"1207";"Sal5";"Ehasta";"200105A-MEhasta";"10.08.01";65;0;65;12;53;0,184615385
"1208";"Sal30";"Emyrti";"200105O-WEmyrti";"07.08.01";46;0;46;38;8;0,826086957
"1209";"Sal30";"Esmyrt";"200105YEsmyrt";"07.08.01";4;0;4;2;2;0,5
"1210";"Sal30";"Emyrti";"200105ZEmyrti";"07.08.01";2;0;2;0;2;0
"1211";"Sal30";"Emyrti";"200106A-GEmyrti";"06.08.01";36;0;36;25;11;0,694444444
"1212";"Sal30";"Emyrti";"200106I-SEmyrti";"07.08.01";54;1;53;45;8;0,849056604
"1213";"Sal14";"Elappo";"200106U-7HElappo";"15.08.01";217;0;217;25;192;0,115207373
"1214";"Sal17";"Eboreo";"200107A1-D1Eboreo";"14.08.01";19;0;19;4;15;0,210526316
"1215";"Sal5";"Ehasta";"200107F1-K1Ehasta";"03.08.01";34;0;34;3;31;0,088235294
"1216";"Sal14";"Elappo";"200107J-VElappo";"19.08.01";51;0;51;2;49;0,039215686
"1217";"Sal5";"Ehasta";"200107M1-V1Ehasta";"10.08.01";58;0;58;5;53;0,086206897
"1218";"Sal17";"Eboreo";"200108A-HEboreo";"14.08.01";38;0;38;14;24;0,368421053
"1219";"Sal17";"Eboreo";"200108J-QEboreo";"19.08.01";39;0;39;9;30;0,230769231
"1220";"Sal9";"Eciner";"200108S-XEciner";"20.01.02";48;0;48;14;34;0,291666667
"1221";"Sal16";"Hnudip";"2001SZ0101Hnudip";"26.07.01";17;0;17;1;16;0,058823529
"1222";"Sal9";"Hpruss";"2001SZ01a01aHpruss";"25.06.01";126;2;124;0;124;0
"1223";"Sal17";"Hplicg";"2001SZ0202Hplicg";"03.08.01";12;1;11;0;11;0
"1224";"Sal16";"Hplicp";"2001SZ0303Hplicp";"03.08.01";25;6;19;5;14;0,263157895
"1225";"Sal16";"Hnudip";"2001SZ0404Hnudip";"03.08.01";25;5;20;2;18;0,1
"1226";"Sal3";"Hischn";"2001SZ0505Hischn";"02.08.01";44;19;25;4;21;0,16
"1227";"Sal16";"Hplicp";"2001SZ0606Hplicp";"02.08.01";27;10;17;3;14;0,176470588
"1228";"Sal3";"Hischn";"2001SZ0707Hischn";"02.08.01";69;26;43;4;39;0,093023256
"1229";"Sal16";"Hnudip";"2001SZ0808Hnudip";"02.08.01";33;9;24;3;21;0,125
"1230";"Sal16";"Hnudip";"2001SZ0909Hnudip";"03.08.01";8;0;8;1;7;0,125
"1231";"Sal3";"Hischn";"2001SZ1010Hischn";"03.08.01";13;2;11;1;10;0,090909091
"1232";"Sal16";"Hnudip";"2001SZ1111Hnudip";"03.08.01";1;0;1;0;1;0
"1233";"Sal16";"Hplicp";"2001SZ1212Hplicp";"05.08.01";8;1;7;0;7;0
"1234";"Sal14";"Hacuti";"2001SZ1313Hacuti";"05.08.01";15;7;8;0;8;0
"1235";"Sal14";"Hplicl";"2001SZ1414Hplicl";"05.08.01";88;19;69;2;67;0,028985507
"1236";"Sal3";"Hischn";"2001SZ1515Hischn";"05.08.01";4;2;2;0;2;0
"1237";"Sal17";"Hplicg";"2001SZ1616Hplicg";"05.08.01";56;11;45;9;36;0,2
"1238";"Sal16";"Hnudip";"2001SZ1717Hnudip";"05.08.01";20;4;16;9;7;0,5625
"1239";"Sal18";"Hscapr";"2001SZ1818Hscapr";"06.08.01";20;14;6;0;6;0
"1240";"Sal18";"Hleuco";"2001SZ1919Hleuco";"06.08.01";164;65;99;2;97;0,02020202
"1241";"Sal16";"Hnudip";"2001SZ2020Hnudip";"05.08.01";46;8;38;13;25;0,342105263
"1242";"Sal3";"Hischn";"2001SZ2121Hischn";"05.08.01";16;3;13;1;12;0,076923077
"1243";"Sal3";"Hischn";"2001SZ2222Hischn";"06.08.01";27;5;22;0;22;0
"1244";"Sal16";"Hnudip";"2001SZ2323Hnudip";"06.08.01";5;1;4;1;3;0,25
"1245";"Sal5";"Htuber";"2001SZ2424Htuber";"06.08.01";19;6;13;5;8;0,384615385
"1246";"Sal16";"Hnudip";"2001SZ2525Hnudip";"06.08.01";25;4;21;7;14;0,333333333
"1247";"Sal42";"Hacuti";"2001SZ2626Hacuti";"19.08.01";1;0;1;0;1;0
"1248";"Sal18";"Hscapr";"2001SZ2727Hscapr";"07.08.01";43;15;28;16;12;0,571428571
"1249";"Sal16";"Hnudip";"2001SZ2828Hnudip";"07.08.01";17;2;15;9;6;0,6
"1250";"Sal17";"Hplicg";"2001SZ2929Hplicg";"10.08.01";12;1;11;0;11;0
"1251";"Sal5";"Htuber";"2001SZ3030Htuber";"10.08.01";11;1;10;4;6;0,4
"1252";"Sal17";"Hplicg";"2001SZ3131Hplicg";"08.08.01";190;42;148;6;142;0,040540541
"1253";"Sal16";"Hnudip";"2001SZ3232Hnudip";"08.08.01";13;3;10;2;8;0,2
"1254";"Sal16";"Hnudip";"2001SZ3333Hnudip";"08.08.01";10;0;10;0;10;0
"1255";"Sal5";"Htuber";"2001SZ3434Htuber";"12.08.01";139;28;111;12;99;0,108108108
"1256";"Sal17";"Hplicg";"2001SZ3535Hplicg";"11.08.01";54;8;46;0;46;0
"1257";"Sal14";"Hacuti";"2001SZ3636Hacuti";"09.08.01";2;1;1;0;1;0
"1258";"Sal16";"Hnudip";"2001SZ3737Hnudip";"10.08.01";3;0;3;1;2;0,333333333
"1259";"Sal14";"Hacuti";"2001SZ3838Hacuti";"10.08.01";9;2;7;1;6;0,142857143
"1260";"Sal17";"Hplicg";"2001SZ3939Hplicg";"10.08.01";15;3;12;1;11;0,083333333
"1261";"Sal18";"Hleuco";"2001SZ4040Hleuco";"11.08.01";11;2;9;0;9;0
"1262";"Sal17";"Hplicg";"2001SZ4141Hplicg";"15.08.01";38;12;26;3;23;0,115384615
"1263";"Sal16";"Hnudip";"2001SZ4242Hnudip";"10.08.01";1;0;1;0;1;0
"1264";"Sal3";"Hischn";"2001SZ4343Hischn";"10.08.01";1;0;1;0;1;0
"1265";"Sal5";"Htuber";"2001SZ4444Htuber";"10.08.01";3;1;2;0;2;0
"1266";"Sal16";"Hnudip";"2001SZ4545Hnudip";"10.08.01";9;2;7;2;5;0,285714286
"1267";"Sal17";"Hplicg";"2001SZ4646Hplicg";"13.08.01";27;3;24;0;24;0
"1268";"Sal18";"Hanoma";"2001SZ4848Hanoma";"13.08.01";3;0;3;1;2;0,333333333
"1269";"Sal17";"Hplicg";"2001SZ4949Hplicg";"14.08.01";5;2;3;0;3;0
"1270";"Sal17";"Hplicg";"2001SZ5050Hplicg";"19.08.01";42;8;34;3;31;0,088235294
"1271";"Sal17";"Hplicg";"2001SZ5151Hplicg";"19.08.01";26;0;26;1;25;0,038461538
"1272";"Sal18";"Hanoma";"2001SZ5252Hanoma";"21.08.01";58;8;50;0;50;0
"1273";"Sal16";"Hnudip";"2001SZ5353Hnudip";"16.08.01";47;9;38;2;36;0,052631579
"1274";"Sal43";"Hacuti";"2001SZ5454Hacuti";"22.08.01";73;10;63;3;60;0,047619048
"1275";"Sal17";"Hplicg";"2001SZ5555Hplicg";"14.08.01";71;3;68;9;59;0,132352941
"1276";"Sal18";"Hleuco";"2001SZ5656Hleuco";"13.08.01";52;11;41;0;41;0
"1277";"Sal14";"Hacuti";"2001SZ5757Hacuti";"15.08.01";174;79;95;14;81;0,147368421
"1278";"Sal25";"Heryth";"2001SZ5858Heryth";"21.08.01";18;2;16;0;16;0
"1279";"Sal44";"Heryth";"2001SZ5959Heryth";"21.08.01";26;2;24;1;23;0,041666667
"1280";"Sal43";"Hplicl";"2001SZ6060Hplicl";"22.08.01";196;10;186;4;182;0,021505376
"1281";"Sal25";"Halien";"2001SZ6161Halien";"21.08.01";102;47;55;3;52;0,054545455
"1282";"Sal44";"Halien";"2001SZ6262Halien";"21.08.01";117;55;62;0;62;0
"1283";"Sal16";"Ephyli";"2001SZ6767Ephyli";"03.08.01";245;12;233;42;191;0,180257511
"1284";"Sal14";"Elappo";"2001SZ7575Elappo";"09.09.01";168;7;161;7;154;0,043478261
"1285";"Sal17";"Eboreo";"2001SZ8080Eboreo";"14.08.01";38;0;38;0;38;0
"1286";"Sal17";"Eboreo";"2001SZ8181Eboreo";"19.08.01";22;0;22;0;22;0
"1287";"Sal17";"Eboreo";"2001SZ8282Eboreo";"08.08.01";36;0;36;6;30;0,166666667
"1288";"Sal25";"Eaurit";"2001SZ8383Eaurit";"08.08.01";4;0;4;2;2;0,5
"1289";"Sal11";"Eatraa";"2001SZ8484Eatraa";"15.03.02";10;0;10;3;7;0,3
"1290";"Sal11";"Oproxi";"200201A-N1Oproxi";"29.07.02";153;0;153;99;54;0,647058824
"1291";"Sal2";"Obridg";"200202A1-S1Obridg";"08.08.02";37;1;36;27;9;0,75
"1292";"Sal11";"Oproxi";"200202A-YOproxi";"31.07.02";96;2;94;76;18;0,808510638
"1293";"Sal2";"Obridg";"200202U1-V1Obridg";"07.08.02";7;0;7;4;3;0,571428571
"1294";"Sal20";"Oobscu";"200203A1-G1Oobscu";"06.08.02";20;0;20;7;13;0,35
"1295";"Sal20";"Omonti";"200203A-YOmonti";"08.08.02";123;4;119;11;108;0,092436975
"1296";"Sal36";"Obridg";"200203I1-L1Obridg";"07.08.02";7;0;7;3;4;0,428571429
"1297";"Sal10";"Ovimin";"198203W1-R3Ovimin";"15.06.82";48;0;48;19;29;0,395833333
"1298";"Sal10";"Ovimin";"198204A-V1Ovimin";"15.06.82";51;0;51;27;24;0,529411765
"1299";"Sal18";"Obridg";"198205A1-V1Obridg";"15.06.82";25;4;21;12;9;0,571428571
"1300";"Sal18";"Ogalla";"198205A-ZOgalla";"15.06.82";32;0;32;31;1;0,96875
"1301";"Sal10";"Ovesic";"198206A-IOvesic";"15.06.82";11;0;11;2;9;0,181818182
"1302";"Sal10";"Ovesic";"198206J-V1Ovesic";"15.06.82";56;0;56;26;30;0,464285714
"1303";"Sal9";"Opedun";"198207A-V1Opedun";"15.06.82";50;0;50;38;12;0,76
"1304";"Sal10";"Ovimin";"198208A-L1Ovimin";"15.06.82";38;0;38;26;12;0,684210526
"1305";"Sal10";"Ovesic";"198209A-14V1Ovesic";"15.06.82";423;9;414;250;164;0,603864734
"1306";"Sal26";"Otrian";"198215A-G1Otrian";"26.06.82";34;3;31;18;13;0,580645161
"1307";"Sal12";"Oproxi";"198215H1-16V1Oproxi";"23.06.82";72;0;72;59;13;0,819444444
"1308";"Sal12";"Oproxi";"198217A-V1Oproxi";"23.06.82";86;1;85;56;29;0,658823529
"1309";"Sal10";"Ovimin";"198218A1-19ZOvimin";"23.06.82";48;0;48;1;47;0,020833333
"1310";"Sal12";"Oproxi";"198218A-ZOproxi";"23.06.82";42;4;38;27;11;0,710526316
"1311";"Sal9";"Obridg";"198220A1-V1Obridg";"29.06.82";23;1;22;11;11;0,5
"1312";"Sal9";"Opedun";"198220A-ZOpedun";"29.06.82";31;3;28;14;14;0,5
"1313";"Sal10";"Ovimin";"198221A-V1Ovimin";"29.06.82";48;0;48;19;29;0,395833333
"1314";"Sal25";"Obella";"198222A-V1Obella";"30.06.82";51;1;50;26;24;0,52
"1315";"Sal11";"Oproxi";"198223A-V1Oproxi";"30.06.82";61;1;60;43;17;0,716666667
"1316";"Sal2";"Obridg";"198224A-V1Obridg";"06.07.82";57;0;57;4;53;0,070175439
"1317";"Sal2";"Obridg";"198225A-V1Obridg";"06.07.82";65;0;65;3;62;0,046153846
