Column header;Explanation
Aptesis nigrocincta (Gravenhorst 1815);Number of individuals of parasitoid/inquiline species
Campodorus variegatus Jurine 1807;Number of individuals of parasitoid/inquiline species
Campoplex sp.;Number of individuals of parasitoid/inquiline species
Cteniscus dorsalis Cresson 1864;Number of individuals of parasitoid/inquiline species
Ctenochira ?oreophila (Schmiedeknecht 1912);Number of individuals of parasitoid/inquiline species
Ctenochira romani (Pfankuch 1925);Number of individuals of parasitoid/inquiline species
Ctenochira sp.;Number of individuals of parasitoid/inquiline species
Diaparsis stramineipes (Brischke 1880);Number of individuals of parasitoid/inquiline species
Eclytus sp.;Number of individuals of parasitoid/inquiline species
Eridolius frontator Kasparyan 1985;Number of individuals of parasitoid/inquiline species
Eridolius pygmaeus (Holmgren 1857);Number of individuals of parasitoid/inquiline species
Eridolius taigensis Kasparyan 1985;Number of individuals of parasitoid/inquiline species
Eridolius sp.;Number of individuals of parasitoid/inquiline species
Erromenus analis Brischke 1871;Number of individuals of parasitoid/inquiline species
Exochus sp. 1;Number of individuals of parasitoid/inquiline species
Exyston calcaratus Thomson 1883;Number of individuals of parasitoid/inquiline species
Gambrus ornatus (Gravenhorst 1829);Number of individuals of parasitoid/inquiline species
Gelis sp.;Number of individuals of parasitoid/inquiline species
Itoplectis alternans (Gravenhorst 1829);Number of individuals of parasitoid/inquiline species
Lathrostizus alpicola Horstmann 2004;Number of individuals of parasitoid/inquiline species
Lathrostizus alpinus Horstmann 1971;Number of individuals of parasitoid/inquiline species
Lathrostizus flexicauda (Holmgren 1860);Number of individuals of parasitoid/inquiline species
Lathrostizus forticauda (Thomson 1887);Number of individuals of parasitoid/inquiline species
Lathrostizus lapponicus Horstmann 2004;Number of individuals of parasitoid/inquiline species
Lathrostizus lugens (Gravenhorst 1829);Number of individuals of parasitoid/inquiline species
Lathrostizus punctipes (Thomson 1887);Number of individuals of parasitoid/inquiline species
Lissonota ?alpinistor Aubert 1969;Number of individuals of parasitoid/inquiline species
Mesochorus sp.1;Number of individuals of parasitoid/inquiline species
Mesoleius sp.;Number of individuals of parasitoid/inquiline species
Olesicampe sp.;Number of individuals of parasitoid/inquiline species
Polyblastus pumilus Holmgren 1855;Number of individuals of parasitoid/inquiline species
Polyblastus sp.?;Number of individuals of parasitoid/inquiline species
Probles clavicornis Horstmann 1971;Number of individuals of parasitoid/inquiline species
Rhinotorus brachycerus Kasparyan & Kopelke 2009;Number of individuals of parasitoid/inquiline species
Saotis alpinator Kasparyan & Kopelke 2009;Number of individuals of parasitoid/inquiline species
Saotis boreator Kasparyan & Kopelke 2010;Number of individuals of parasitoid/inquiline species
Saotis granulator Kasparyan & Kopelke 2010;Number of individuals of parasitoid/inquiline species
Saotis morleyi Fitton 1976;Number of individuals of parasitoid/inquiline species
Saotis nigriscuta (Thomson, 1883);Number of individuals of parasitoid/inquiline species
Saotis pygidiator pygidiator Kasparyan & Kopelke 2009;Number of individuals of parasitoid/inquiline species
Saotis renovata (Morley, 1911);Number of individuals of parasitoid/inquiline species
Saotis subarctor Kasparyan & Kopelke 2010;Number of individuals of parasitoid/inquiline species
Saotis tricolor (Thomson 1883);Number of individuals of parasitoid/inquiline species
Saotis sp.;Number of individuals of parasitoid/inquiline species
Scambus vesicarius (Ratzeburg 1844);Number of individuals of parasitoid/inquiline species
Theroscopus hemipteron (Riche 1791) insignipennis (Schmiedeknecht 1905);Number of individuals of parasitoid/inquiline species
Lathrostizus/Olesicampe sp.;Number of individuals of parasitoid/inquiline species
Ichneumonidae indet.;Number of individuals of parasitoid/inquiline species
Apion minimum Herbst 1797;Number of individuals of parasitoid/inquiline species
Curculio crux Fabricius 1776;Number of individuals of parasitoid/inquiline species
Curculio salicivorus Paykull 1792;Number of individuals of parasitoid/inquiline species
Euphranta toxoneura (Loew 1846);Number of individuals of parasitoid/inquiline species
Hydriomena ruberata Freyer 1831;Number of individuals of parasitoid/inquiline species
ORDER;Order of parasitoid/inquiline species
SUPERFAMILY;Superfamily of parasitoid/inquiline species
FAMILY;Family of parasitoid/inquiline species
GENUS;Genus of parasitoid/inquiline species
GOODNESS OF ID;Level to which parasitoid/inquiline has been identified
P/I;Parasitoid/Inquiline
ENDO/ECTO;Endoparasite/Ectoparasite
KOINO/IDIO;Koinobiont/Idiobiont
1INSTAR/LINSTAR/COCOON/EGG;Target of attack: 1st instar larvae / later instar larvae / cocoons / eggs
RPAR;Code name of parasitoid/inquiline species (for use in R)
